date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,cum_titles_home,cum_runner_up_home,cum_third_home,cum_titles_away,cum_runner_up_away,cum_third_away,tournament_score,elo_home,elo_away,elo_diff,home_last5_wins,home_last5_losses,home_last5_draws,away_last5_wins,away_last5_losses,away_last5_draws,h2h_home_wins,h2h_away_wins,h2h_draw,h2h_diff,result
1908-07-12,Sweden,Norway,11.0,3.0,Friendly,Gothenburg,Sweden,False,1908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1910-09-11,Norway,Sweden,0.0,4.0,Friendly,Kristiania,Norway,False,1910,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1480.9713478436897,1519.0286521563103,-38.057304312620545,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
1911-09-17,Sweden,Norway,4.0,1.0,Friendly,Solna,Sweden,False,1911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1539.4976577680065,1460.5023422319935,78.9953155360131,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0
1912-06-16,Norway,Sweden,1.0,2.0,Friendly,Kristiania,Norway,False,1912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1450.0785359328881,1549.9214640671119,-99.84292813422371,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0
1912-06-23,Norway,Hungary,0.0,6.0,Friendly,Kristiania,Norway,False,1912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1440.935378247189,1500.0,-59.064621752811036,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912-06-30,Denmark,Norway,7.0,0.0,Olympic Games,Stockholm,Sweden,True,1912,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,1419.0167648599754,80.98323514002459,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
1912-07-01,Austria,Norway,1.0,0.0,Olympic Games,Stockholm,Sweden,True,1912,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,1399.074868944108,100.92513105589205,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
1912-07-03,Norway,Russia,2.0,1.0,Friendly,Stockholm,Sweden,True,1912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1390.9114537011735,1500.0,-109.08854629882649,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1912-11-03,Sweden,Norway,4.0,2.0,Friendly,Gothenburg,Sweden,False,1912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1559.064621752811,1402.0317895742533,157.03283217855778,4.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,2.0
1913-06-08,Sweden,Norway,9.0,0.0,Friendly,Stockholm,Sweden,False,1913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1565.45477284943,1395.6416384776344,169.8131343717955,5.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,5.0,2.0
1913-09-14,Russia,Norway,1.0,1.0,Friendly,Moscow,Russia,False,1913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1488.8796641269203,1385.5950052789947,103.28465884792558,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,-1.0,1.0
1913-10-26,Norway,Sweden,1.0,1.0,Friendly,Kristiania,Norway,False,1913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1390.2063668788421,1575.5014060480696,-185.2950391692275,1.0,3.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,-6.0,1.0
1914-06-28,Norway,Sweden,0.0,1.0,Friendly,Kristiania,Norway,False,1914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1393.4081502015233,1572.2996227253884,-178.8914725238651,1.0,2.0,2.0,4.0,0.0,1.0,0.0,6.0,1.0,-6.0,0.0
1914-07-12,Norway,Russia,1.0,1.0,Friendly,Kristiania,Norway,False,1914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1386.4435554013871,1484.2683025270728,-97.82474712568569,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1914-09-20,Argentina,Brazil,3.0,0.0,Friendly,Buenos Aires,Argentina,False,1914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1914-09-27,Argentina,Brazil,0.0,1.0,Copa Roca,Buenos Aires,Argentina,False,1914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1514.021112115176,1485.978887884824,28.042224230352076,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1914-10-25,Sweden,Norway,7.0,0.0,Friendly,Solna,Sweden,False,1914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1579.2642175255246,1387.2427082015502,192.02150932397444,4.0,0.0,1.0,0.0,2.0,3.0,7.0,0.0,1.0,7.0,2.0
1915-06-27,Norway,Sweden,1.0,1.0,Friendly,Kristiania,Norway,False,1915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1379.0892329165583,1587.4176928105164,-208.3284598939581,0.0,2.0,3.0,4.0,0.0,1.0,0.0,8.0,1.0,-8.0,1.0
1915-09-19,Denmark,Norway,8.0,1.0,Friendly,Copenhagen,Denmark,False,1915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1519.9418959158675,1382.8728076637567,137.06908825211076,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0
