key_id,tournament_id,tournament_name,position,team_id,team_name,team_code,wc_year,title,runner_up,third,cum_titles,cum_runner_up,cum_third
2,WC-1930,1930 FIFA World Cup,2,T-03,Argentina,ARG,1930,0,1,0,0,1,0
41,WC-1978,1978 FIFA World Cup,1,T-03,Argentina,ARG,1978,1,0,0,1,1,0
49,WC-1986,1986 FIFA World Cup,1,T-03,Argentina,ARG,1986,1,0,0,2,1,0
54,WC-1990,1990 FIFA World Cup,2,T-03,Argentina,ARG,1990,0,1,0,2,2,0
78,WC-2014,2014 FIFA World Cup,2,T-03,Argentina,ARG,2014,0,1,0,2,3,0
85,WC-2022,2022 FIFA World Cup,1,T-28,Argentina,ARG,2022,1,0,0,3,3,0
8,WC-1934,1934 FIFA World Cup,4,T-05,Austria,AUT,1934,0,0,0,0,0,0
19,WC-1954,1954 FIFA World Cup,3,T-05,Austria,AUT,1954,0,0,1,0,0,1
52,WC-1986,1986 FIFA World Cup,4,T-06,Belgium,BEL,1986,0,0,0,0,0,0
83,WC-2018,2018 FIFA World Cup,3,T-06,Belgium,BEL,2018,0,0,1,0,0,1
11,WC-1938,1938 FIFA World Cup,3,T-09,Brazil,BRA,1938,0,0,1,0,0,1
14,WC-1950,1950 FIFA World Cup,2,T-09,Brazil,BRA,1950,0,1,0,0,1,1
21,WC-1958,1958 FIFA World Cup,1,T-09,Brazil,BRA,1958,1,0,0,1,1,1
25,WC-1962,1962 FIFA World Cup,1,T-09,Brazil,BRA,1962,1,0,0,2,1,1
33,WC-1970,1970 FIFA World Cup,1,T-09,Brazil,BRA,1970,1,0,0,3,1,1
40,WC-1974,1974 FIFA World Cup,4,T-09,Brazil,BRA,1974,0,0,0,3,1,1
43,WC-1978,1978 FIFA World Cup,3,T-09,Brazil,BRA,1978,0,0,1,3,1,2
57,WC-1994,1994 FIFA World Cup,1,T-09,Brazil,BRA,1994,1,0,0,4,1,2
62,WC-1998,1998 FIFA World Cup,2,T-09,Brazil,BRA,1998,0,1,0,4,2,2
65,WC-2002,2002 FIFA World Cup,1,T-09,Brazil,BRA,2002,1,0,0,5,2,2
80,WC-2014,2014 FIFA World Cup,4,T-09,Brazil,BRA,2014,0,0,0,5,2,2
60,WC-1994,1994 FIFA World Cup,4,T-10,Bulgaria,BGR,1994,0,0,0,0,0,0
27,WC-1962,1962 FIFA World Cup,3,T-13,Chile,CHL,1962,0,0,1,0,0,1
63,WC-1998,1998 FIFA World Cup,3,T-17,Croatia,HRV,1998,0,0,1,0,0,1
82,WC-2018,2018 FIFA World Cup,2,T-17,Croatia,HRV,2018,0,1,0,0,1,1
87,WC-2022,2022 FIFA World Cup,3,T-06,Croatia,CRO,2022,0,0,1,0,1,2
6,WC-1934,1934 FIFA World Cup,2,T-20,Czechoslovakia,CSK,1934,0,1,0,0,1,0
26,WC-1962,1962 FIFA World Cup,2,T-20,Czechoslovakia,CSK,1962,0,1,0,0,2,0
29,WC-1966,1966 FIFA World Cup,1,T-27,England,ENG,1966,1,0,0,1,0,0
56,WC-1990,1990 FIFA World Cup,4,T-27,England,ENG,1990,0,0,0,1,0,0
84,WC-2018,2018 FIFA World Cup,4,T-27,England,ENG,2018,0,0,0,1,0,0
23,WC-1958,1958 FIFA World Cup,3,T-28,France,FRA,1958,0,0,1,0,0,1
48,WC-1982,1982 FIFA World Cup,4,T-28,France,FRA,1982,0,0,0,0,0,1
51,WC-1986,1986 FIFA World Cup,3,T-28,France,FRA,1986,0,0,1,0,0,2
61,WC-1998,1998 FIFA World Cup,1,T-28,France,FRA,1998,1,0,0,1,0,2
70,WC-2006,2006 FIFA World Cup,2,T-28,France,FRA,2006,0,1,0,1,1,2
81,WC-2018,2018 FIFA World Cup,1,T-28,France,FRA,2018,1,0,0,2,1,2
86,WC-2022,2022 FIFA World Cup,2,T-17,France,FRA,2022,0,1,0,2,2,2
7,WC-1934,1934 FIFA World Cup,3,T-29,Germany,DEU,1934,0,0,1,0,0,1
17,WC-1954,1954 FIFA World Cup,1,T-82,Germany,DEU,1954,1,0,0,1,0,1
24,WC-1958,1958 FIFA World Cup,4,T-82,Germany,DEU,1958,0,0,0,1,0,1
30,WC-1966,1966 FIFA World Cup,2,T-82,Germany,DEU,1966,0,1,0,1,1,1
35,WC-1970,1970 FIFA World Cup,3,T-82,Germany,DEU,1970,0,0,1,1,1,2
37,WC-1974,1974 FIFA World Cup,1,T-82,Germany,DEU,1974,1,0,0,2,1,2
46,WC-1982,1982 FIFA World Cup,2,T-82,Germany,DEU,1982,0,1,0,2,2,2
50,WC-1986,1986 FIFA World Cup,2,T-82,Germany,DEU,1986,0,1,0,2,3,2
53,WC-1990,1990 FIFA World Cup,1,T-82,Germany,DEU,1990,1,0,0,3,3,2
66,WC-2002,2002 FIFA World Cup,2,T-29,Germany,DEU,2002,0,1,0,3,4,2
71,WC-2006,2006 FIFA World Cup,3,T-29,Germany,DEU,2006,0,0,1,3,4,3
75,WC-2010,2010 FIFA World Cup,3,T-29,Germany,DEU,2010,0,0,1,3,4,4
77,WC-2014,2014 FIFA World Cup,1,T-29,Germany,DEU,2014,1,0,0,4,4,4
10,WC-1938,1938 FIFA World Cup,2,T-34,Hungary,HUN,1938,0,1,0,0,1,0
18,WC-1954,1954 FIFA World Cup,2,T-34,Hungary,HUN,1954,0,1,0,0,2,0
5,WC-1934,1934 FIFA World Cup,1,T-39,Italy,ITA,1934,1,0,0,1,0,0
9,WC-1938,1938 FIFA World Cup,1,T-39,Italy,ITA,1938,1,0,0,2,0,0
34,WC-1970,1970 FIFA World Cup,2,T-39,Italy,ITA,1970,0,1,0,2,1,0
44,WC-1978,1978 FIFA World Cup,4,T-39,Italy,ITA,1978,0,0,0,2,1,0
45,WC-1982,1982 FIFA World Cup,1,T-39,Italy,ITA,1982,1,0,0,3,1,0
55,WC-1990,1990 FIFA World Cup,3,T-39,Italy,ITA,1990,0,0,1,3,1,1
58,WC-1994,1994 FIFA World Cup,2,T-39,Italy,ITA,1994,0,1,0,3,2,1
69,WC-2006,2006 FIFA World Cup,1,T-39,Italy,ITA,2006,1,0,0,4,2,1
88,WC-2022,2022 FIFA World Cup,4,T-27,Morocco,MAR,2022,0,0,0,0,0,0
38,WC-1974,1974 FIFA World Cup,2,T-46,Netherlands,NLD,1974,0,1,0,0,1,0
42,WC-1978,1978 FIFA World Cup,2,T-46,Netherlands,NLD,1978,0,1,0,0,2,0
64,WC-1998,1998 FIFA World Cup,4,T-46,Netherlands,NLD,1998,0,0,0,0,2,0
74,WC-2010,2010 FIFA World Cup,2,T-46,Netherlands,NLD,2010,0,1,0,0,3,0
79,WC-2014,2014 FIFA World Cup,3,T-46,Netherlands,NLD,2014,0,0,1,0,3,1
39,WC-1974,1974 FIFA World Cup,3,T-55,Poland,POL,1974,0,0,1,0,0,1
47,WC-1982,1982 FIFA World Cup,3,T-55,Poland,POL,1982,0,0,1,0,0,2
31,WC-1966,1966 FIFA World Cup,3,T-56,Portugal,PRT,1966,0,0,1,0,0,1
72,WC-2006,2006 FIFA World Cup,4,T-56,Portugal,PRT,2006,0,0,0,0,0,1
32,WC-1966,1966 FIFA World Cup,4,T-69,Russia,SUN,1966,0,0,0,0,0,0
68,WC-2002,2002 FIFA World Cup,4,T-68,South Korea,KOR,2002,0,0,0,0,0,0
16,WC-1950,1950 FIFA World Cup,4,T-70,Spain,ESP,1950,0,0,0,0,0,0
73,WC-2010,2010 FIFA World Cup,1,T-70,Spain,ESP,2010,1,0,0,1,0,0
12,WC-1938,1938 FIFA World Cup,4,T-71,Sweden,SWE,1938,0,0,0,0,0,0
15,WC-1950,1950 FIFA World Cup,3,T-71,Sweden,SWE,1950,0,0,1,0,0,1
22,WC-1958,1958 FIFA World Cup,2,T-71,Sweden,SWE,1958,0,1,0,0,1,1
59,WC-1994,1994 FIFA World Cup,3,T-71,Sweden,SWE,1994,0,0,1,0,1,2
67,WC-2002,2002 FIFA World Cup,3,T-76,Turkey,TUR,2002,0,0,1,0,0,1
3,WC-1930,1930 FIFA World Cup,3,T-79,United States,USA,1930,0,0,1,0,0,1
1,WC-1930,1930 FIFA World Cup,1,T-80,Uruguay,URY,1930,1,0,0,1,0,0
13,WC-1950,1950 FIFA World Cup,1,T-80,Uruguay,URY,1950,1,0,0,2,0,0
20,WC-1954,1954 FIFA World Cup,4,T-80,Uruguay,URY,1954,0,0,0,2,0,0
36,WC-1970,1970 FIFA World Cup,4,T-80,Uruguay,URY,1970,0,0,0,2,0,0
76,WC-2010,2010 FIFA World Cup,4,T-80,Uruguay,URY,2010,0,0,0,2,0,0
4,WC-1930,1930 FIFA World Cup,4,T-83,Yugoslavia,YUG,1930,0,0,0,0,0,0
28,WC-1962,1962 FIFA World Cup,4,T-83,Yugoslavia,YUG,1962,0,0,0,0,0,0
