,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,False
1,1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,False
2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,False
3,1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,False
4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,False
6,1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,False
8,1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,False
10,1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,False
11,1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,False
13,1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,False
14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,False
16,1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,False
17,1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,False
19,1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Belfast,Ireland,False
21,1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,False
22,1882-03-13,Wales,England,5.0,3.0,Friendly,Wrexham,Wales,False
24,1883-02-03,England,Wales,5.0,0.0,Friendly,London,England,False
25,1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,Liverpool,England,False
26,1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,False
31,1884-02-23,Northern Ireland,England,1.0,8.0,British Home Championship,Belfast,Ireland,False
32,1884-03-15,Scotland,England,1.0,0.0,British Home Championship,Glasgow,Scotland,False
33,1884-03-17,Wales,England,0.0,4.0,British Home Championship,Wrexham,Wales,False
35,1885-02-28,England,Northern Ireland,4.0,0.0,British Home Championship,Manchester,England,False
36,1885-03-14,England,Wales,1.0,1.0,British Home Championship,Blackburn,England,False
38,1885-03-21,England,Scotland,1.0,1.0,British Home Championship,London,England,False
41,1885-11-28,United States,Canada,0.0,1.0,Friendly,Newark,United States,False
43,1886-03-13,Northern Ireland,England,1.0,6.0,British Home Championship,Belfast,Ireland,False
45,1886-03-27,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False
46,1886-03-29,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False
48,1886-11-25,United States,Canada,3.0,2.0,Friendly,Newark,United States,False
49,1887-02-05,England,Northern Ireland,7.0,0.0,British Home Championship,Sheffield,England,False
51,1887-02-26,England,Wales,4.0,0.0,British Home Championship,London,England,False
53,1887-03-19,England,Scotland,2.0,3.0,British Home Championship,Blackburn,England,False
55,1888-02-04,England,Wales,5.0,1.0,British Home Championship,Crewe,England,False
58,1888-03-17,Scotland,England,0.0,5.0,British Home Championship,Glasgow,Scotland,False
60,1888-04-07,Northern Ireland,England,1.0,5.0,British Home Championship,Belfast,Ireland,False
62,1889-02-23,England,Wales,4.0,1.0,British Home Championship,Stoke-on-Trent,England,False
63,1889-03-02,England,Northern Ireland,6.0,1.0,British Home Championship,Liverpool,England,False
65,1889-04-13,England,Scotland,2.0,3.0,British Home Championship,London,England,False
69,1890-03-15,Northern Ireland,England,1.0,9.0,British Home Championship,Belfast,Ireland,False
70,1890-03-15,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False
73,1890-04-05,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False
75,1891-03-07,England,Wales,4.0,1.0,British Home Championship,Sunderland,England,False
76,1891-03-07,England,Northern Ireland,6.0,1.0,British Home Championship,Wolverhampton,England,False
79,1891-04-04,England,Scotland,2.0,1.0,British Home Championship,Blackburn,England,False
81,1892-03-05,Northern Ireland,England,0.0,2.0,British Home Championship,Belfast,Ireland,False
82,1892-03-05,Wales,England,0.0,2.0,British Home Championship,Wrexham,Wales,False
85,1892-04-02,Scotland,England,1.0,4.0,British Home Championship,Glasgow,Scotland,False
86,1893-02-25,England,Northern Ireland,6.0,1.0,British Home Championship,Birmingham,England,False
